DATE,PLANT,MATERIAL,RANKING
20210308,D077,10000050,1
20210308,D079,10000050,1
20210308,D079,10000906,1
20210308,D083,10000050,1
20210308,D083,10040465,1
20210308,D084,10000050,1
20210308,D085,10000050,1
20210308,D086,10000050,1
20210308,D086,10000069,1
20210308,D093,10000050,1
20210308,D098,10000050,1
20210308,D101,10000050,1
20210308,D105,10000050,1
20210308,D136,10000000,1
20210308,D144,10000050,1
20210308,D145,10000050,1
20210308,D677,10000050,1
20210309,D074,10000050,1
20210309,D075,10000050,1
20210309,D077,10000050,1
20210309,D079,10000050,1
20210309,D081,10000050,1
20210309,D081,10000906,1
20210309,D083,10000050,1
20210309,D084,10000050,1
20210309,D086,10000050,1
20210309,D086,10000069,1
20210309,D093,10000050,1
20210309,D098,10000050,1
20210309,D101,10000050,1
20210309,D101,10000069,1
20210309,D105,10000050,1
20210309,D105,10040465,1
20210309,D120,10000050,1
20210309,D144,10000050,1
20210309,D145,10000050,1
20210309,D145,10000069,1
20210309,D677,10000050,1
20210310,D074,10000050,1
20210310,D075,10000050,1
20210310,D075,10000069,1
20210310,D077,10000050,1
20210310,D079,10000050,1
20210310,D079,10000906,1
20210310,D081,10000050,1
20210310,D081,10000906,1
20210310,D083,10000050,1
20210310,D084,10000050,1
20210310,D084,10000069,1
20210310,D085,10000050,1
20210310,D085,10000069,1
20210310,D086,10000050,1
20210310,D086,10000069,1
20210310,D093,10000050,1
20210310,D098,10000050,1
20210310,D101,10000050,1
20210310,D101,10000069,1
20210310,D105,10000050,1
20210310,D111,10000050,1
20210310,D111,10000906,1
20210310,D120,10000050,1
20210310,D144,10000050,1
20210310,D145,10000050,1
20210310,D145,10000069,1
20210310,D677,10000050,1
20210311,D074,10000050,1
20210311,D074,10040465,1
20210311,D075,10000050,1
20210311,D077,10000050,1
20210311,D079,10000050,1
20210311,D080,10000050,1
20210311,D081,10000050,1
20210311,D083,10000050,1
20210311,D084,10000050,1
20210311,D084,10000906,1
20210311,D086,10000050,1
20210311,D086,10000069,1
20210311,D093,10000050,1
20210311,D098,10000050,1
20210311,D101,10000050,1
20210311,D101,10000069,1
20210311,D105,10040465,1
20210311,D111,10000050,1
20210311,D120,10000050,1
20210311,D144,10000050,1
20210311,D145,10000050,1
20210311,D145,10000069,1
20210312,D074,10000050,1
20210312,D075,10000050,1
20210312,D077,10000050,1
20210312,D079,10000050,1
20210312,D079,10000906,1
20210312,D080,10000050,1
20210312,D083,10000050,1
20210312,D083,10040465,1
20210312,D084,10000050,1
20210312,D085,10000050,1
20210312,D085,10000069,1
20210312,D086,10000050,1
20210312,D086,10000069,1
20210312,D093,10000050,1
20210312,D098,10000050,1
20210312,D101,10000050,1
20210312,D105,10000050,1
20210312,D105,10000906,1
20210312,D105,10040465,1
20210312,D111,10000050,1
20210312,D120,10000050,1
20210312,D144,10000050,1
20210312,D145,10000050,1
20210312,D145,10000069,1
20210312,D677,10000050,1
20210313,D074,10000050,1
20210313,D075,10000050,1
20210313,D077,10000050,1
20210313,D079,10000050,1
20210313,D080,10000050,1
20210313,D081,10000050,1
20210313,D083,10000050,1
20210313,D084,10000050,1
20210313,D085,10000050,1
20210313,D086,10000050,1
20210313,D093,10000050,1
20210313,D098,10000050,1
20210313,D101,10000050,1
20210313,D101,10000069,1
20210313,D105,10000050,1
20210313,D144,10000050,1
20210313,D145,10000050,1
20210313,D145,10000069,1
20210313,D677,10000050,1
20210315,D075,10000050,1
20210315,D077,10000050,1
20210315,D083,10000050,1
20210315,D083,10040465,1
20210315,D086,10000050,1
20210315,D093,10000050,1
20210315,D098,10000050,1
20210315,D101,10000050,1
20210315,D101,10000069,1
20210315,D145,10000050,1
